SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,DISHEAR_N_T,DISHEAR_YSOME_T,DISHEAR_YLOT_T,DISHEAR_YALL_T,DISHEAR_Y_T,DISHEAR_TOT_T,DISHEARR_T,DISHEAR_N_F,DISHEAR_YSOME_F,DISHEAR_YLOT_F,DISHEAR_YALL_F,DISHEAR_Y_F,DISHEAR_TOT_F,DISHEARR_F,DISHEAR_N_M,DISHEAR_YSOME_M,DISHEAR_YLOT_M,DISHEAR_YALL_M,DISHEAR_Y_M,DISHEAR_TOT_M,DISHEARR_M,DISHEAR_N_U,DISHEAR_YSOME_U,DISHEAR_YLOT_U,DISHEAR_YALL_U,DISHEAR_Y_U,DISHEAR_TOT_U,DISHEARR_U,DISHEAR_N_R,DISHEAR_YSOME_R,DISHEAR_YLOT_R,DISHEAR_YALL_R,DISHEAR_Y_R,DISHEAR_TOT_R,DISHEARR_R,DISHEAR_N_FU,DISHEAR_YSOME_FU,DISHEAR_YLOT_FU,DISHEAR_YALL_FU,DISHEAR_Y_FU,DISHEAR_TOT_FU,DISHEARR_FU,DISHEAR_N_MU,DISHEAR_YSOME_MU,DISHEAR_YLOT_MU,DISHEAR_YALL_MU,DISHEAR_Y_MU,DISHEAR_TOT_MU,DISHEARR_MU,DISHEAR_N_FR,DISHEAR_YSOME_FR,DISHEAR_YLOT_FR,DISHEAR_YALL_FR,DISHEAR_Y_FR,DISHEAR_TOT_FR,DISHEARR_FR,DISHEAR_N_MR,DISHEAR_YSOME_MR,DISHEAR_YLOT_MR,DISHEAR_YALL_MR,DISHEAR_Y_MR,DISHEAR_TOT_MR,DISHEARR_MR,DISHEARR_MR
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001001,Myitkyina,မြစ်ကြီးနား,313915,2766,572,351,3689,317604,1.1615093008904172,161384,1643,324,206,2173,163557,1.3285888100173,152531,1123,248,145,1516,154047,0.984115237557369,243787,1982,458,279,2719,246506,1.103015748095381,70128,784,114,72,970,71098,1.364314045402121,126995,1178,256,166,1600,128595,1.24421633811579,116792,804,202,113,1119,117911,0.9490208716743985,34389,465,68,40,573,34962,1.6389222584520338,35739,319,46,32,397,36136,1.0986274075713969
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001002,Waingmaw,ဝိုင်းမော်,122111,2744,501,188,3433,125544,2.734499458357229,61194,1504,275,106,1885,63079,2.9883162383677613,60917,1240,226,82,1548,62465,2.4781877851596894,26183,380,69,24,473,26656,1.7744597839135654,95928,2364,432,164,2960,98888,2.9932853329018685,13165,213,42,12,267,13432,1.9877903513996427,13018,167,27,12,206,13224,1.557773744706594,48029,1291,233,94,1618,49647,3.2590086007210908,47899,1073,199,70,1342,49241,2.725371133811255
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001003,Injangyang,အင်ဂျန်းယန်,1687,31,9,5,45,1732,2.5981524249422634,762,18,3,3,24,786,3.0534351145038165,925,13,6,2,21,946,2.2198731501057085,434,10,1,0,11,445,2.4719101123595504,1253,21,8,5,34,1287,2.641802641802642,196,4,1,0,5,201,2.4875621890547266,238,6,0,0,6,244,2.459016393442623,566,14,2,3,19,585,3.2478632478632483,687,7,6,2,15,702,2.1367521367521367
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001004,Tanai,တနိုင်း,59143,704,97,75,876,60019,1.4595378130258752,27587,360,58,35,453,28040,1.6155492154065623,31556,344,39,40,423,31979,1.3227430501266455,37032,293,42,48,383,37415,1.0236536148603501,22111,411,55,27,493,22604,2.18102990621129,17133,154,24,24,202,17335,1.1652725699451976,19899,139,18,24,181,20080,0.9013944223107571,10454,206,34,11,251,10705,2.344698738907053,11657,205,21,16,242,11899,2.033784351626187
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001005,Chipwi,ချီဗွေ,19678,275,44,42,361,20039,1.8014871001546984,9553,146,23,17,186,9739,1.9098470068795566,10125,129,21,25,175,10300,1.6990291262135921,2752,32,4,2,38,2790,1.3620071684587813,16926,243,40,40,323,17249,1.8725723230332194,1375,20,3,1,24,1399,1.7155110793423873,1377,12,1,1,14,1391,1.00647016534867,8178,126,20,16,162,8340,1.9424460431654675,8748,117,20,24,161,8909,1.807161297564261
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001006,Tsawlaw,ဆော့လော်,6366,108,25,19,152,6518,2.332003682111077,3101,51,12,3,66,3167,2.0839911588253868,3265,57,13,16,86,3351,2.5663980901223518,363,5,0,0,5,368,1.358695652173913,6003,103,25,19,147,6150,2.3902439024390243,173,2,0,0,2,175,1.1428571428571428,190,3,0,0,3,193,1.5544041450777202,2928,49,12,3,64,2992,2.13903743315508,3075,54,13,16,83,3158,2.628245725142495
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001007,Mohnyin,မိုးညှင်း,207438,1541,215,98,1854,209292,0.8858437016226134,106585,935,120,54,1109,107694,1.0297695321930656,100853,606,95,44,745,101598,0.7332821512234492,56139,412,53,38,503,56642,0.8880336146322517,151299,1129,162,60,1351,152650,0.885031116934163,29688,249,28,25,302,29990,1.0070023341113705,26451,163,25,13,201,26652,0.7541647906348491,76897,686,92,29,807,77704,1.0385565736641615,74402,443,70,31,544,74946,0.7258559496170577
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001008,Mogaung,မိုးကောင်း,131549,860,126,73,1059,132608,0.7985943532818532,68489,499,77,42,618,69107,0.8942654145021489,63060,361,49,31,441,63501,0.694477252326735,24833,138,26,15,179,25012,0.7156564848872542,106716,722,100,58,880,107596,0.8178742704189748,13304,81,13,10,104,13408,0.7756563245823389,11529,57,13,5,75,11604,0.6463288521199586,55185,418,64,32,514,55699,0.9228172857681467,51531,304,36,26,366,51897,0.7052430776345453
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001009,Hpakant,ဖားကန့်,329512,1893,198,105,2196,331708,0.6620280487657819,119765,1070,97,53,1220,120985,1.0083894697689797,209747,823,101,52,976,210723,0.463167285963089,65613,206,24,14,244,65857,0.37049971908832774,263899,1687,174,91,1952,265851,0.7342458745688374,22911,109,11,8,128,23039,0.5555796692564782,42702,97,13,6,116,42818,0.27091410154607876,96854,961,86,45,1092,97946,1.114900046964654,167045,726,88,46,860,167905,0.5121943956403919
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001010,Bhamo,ဗန်းမော်,133615,1868,254,140,2262,135877,1.6647409053776578,67835,1097,139,88,1324,69159,1.9144290692462298,65780,771,115,52,938,66718,1.4059174435684523,57890,655,86,65,806,58696,1.3731770478397165,75725,1213,168,75,1456,77181,1.886474650496884,29724,387,52,41,480,30204,1.5891934843067144,28166,268,34,24,326,28492,1.14418082268707,38111,710,87,47,844,38955,2.166602490052625,37614,503,81,28,612,38226,1.6010045518756868
