SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,PHONE_Y_T,PHONE_N_T,PHONE_TOT_T,PCT_PHONE_T,PHONE_Y_F,PHONE_N_F,PHONE_TOT_F,PCT_PHONE_F,PHONE_Y_M,PHONE_N_M,PHONE_TOT_M,PCT_PHONE_M,PHONE_Y_U,PHONE_N_U,PHONE_TOT_U,PCT_PHONE_U,PHONE_Y_R,PHONE_N_R,PHONE_TOT_R,PCT_PHONE_R,PHONE_Y_FU,PHONE_N_FU,PHONE_TOT_FU,PCT_PHONE_FU,PHONE_Y_MU,PHONE_N_MU,PHONE_TOT_MU,PCT_PHONE_MU,PHONE_Y_FR,PHONE_N_FR,PHONE_TOT_FR,PCT_PHONE_FR,PHONE_Y_MR,PHONE_N_MR,PHONE_TOT_MR,PCT_PHONE_MR
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001001,Myitkyina,မြစ်ကြီးနား,28739,23852,52591,54.64623224506094,8286,8204,16490,50.2486355366889,20453,15648,36101,56.6549403063627,25761,14611,40372,63.80907559694838,2978,9241,12219,24.37187985923562,7349,4843,12192,60.2772309711286,18412,9768,28180,65.33711852377573,937,3361,4298,21.800837598883202,2041,5880,7921,25.76694861759879
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001002,Waingmaw,ဝိုင်းမော်,5880,16980,22860,25.72178477690289,1757,5069,6826,25.739818341634923,4123,11911,16034,25.714107521516777,2009,2495,4504,44.60479573712256,3871,14485,18356,21.0884724340815,652,784,1436,45.40389972144847,1357,1711,3068,44.230769230769226,1105,4285,5390,20.500927643784784,2766,10200,12966,21.332716335030078
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001003,Injangyang,အင်ဂျန်းယန်,22,263,285,7.719298245614035,6,47,53,11.320754716981133,16,216,232,6.896551724137931,12,66,78,15.384615384615385,10,197,207,4.830917874396135,4,9,13,30.76923076923077,8,57,65,12.307692307692308,2,38,40,5,8,159,167,4.790419161676647
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001004,Tanai,တနိုင်း,2556,5972,8528,29.971857410881803,519,959,1478,35.115020297699594,2037,5013,7050,28.893617021276597,1990,2729,4719,42.16995126086035,566,3243,3809,14.859543187188237,444,517,961,46.20187304890739,1546,2212,3758,41.138903672166045,75,442,517,14.506769825918761,491,2801,3292,14.91494532199271
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001005,Chipwi,ချီဗွေ,811,2495,3306,24.53115547489413,116,518,634,18.29652996845426,695,1977,2672,26.010479041916167,100,425,525,19.047619047619047,711,2070,2781,25.5663430420712,28,152,180,15.555555555555555,72,273,345,20.869565217391305,88,366,454,19.383259911894275,623,1704,2327,26.77266867211001
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001006,Tsawlaw,ဆော့လော်,34,1039,1073,3.1686859273066172,10,168,178,5.617977528089887,24,871,895,2.6815642458100557,5,61,66,7.575757575757576,29,978,1007,2.8798411122144985,2,18,20,10,3,43,46,6.521739130434782,8,150,158,5.063291139240507,21,828,849,2.4734982332155475
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001007,Mohnyin,မိုးညှင်း,15827,23795,39622,39.944980061581944,4712,7479,12191,38.651464194897876,11115,16316,27431,40.51984980496518,6647,4247,10894,61.01523774554801,9180,19548,28728,31.954887218045116,2165,1651,3816,56.73480083857443,4482,2596,7078,63.32297259112744,2547,5828,8375,30.41194029850746,6633,13720,20353,32.589790202918486
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001008,Mogaung,မိုးကောင်း,9016,15882,24898,36.21174391517391,2635,4652,7287,36.16028543982435,6381,11230,17611,36.23303617057521,2707,1741,4448,60.85881294964028,6309,14141,20450,30.850855745721272,935,675,1610,58.07453416149069,1772,1066,2838,62.43833685694151,1700,3977,5677,29.945393693852385,4609,10164,14773,31.198808637379
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001009,Hpakant,ဖားကန့်,16787,19845,36632,45.826053723520424,2204,3356,5560,39.64028776978417,14583,16489,31072,46.932929969104016,4698,3188,7886,59.573928480852146,12089,16657,28746,42.05454671954359,686,572,1258,54.531001589825124,4012,2616,6628,60.53108026554014,1518,2784,4302,35.28591352859135,10571,13873,24444,43.2457862870234
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001010,Bhamo,ဗန်းမော်,9820,14341,24161,40.64401307892885,2623,4543,7166,36.60340496790399,7197,9798,16995,42.3477493380406,5734,3781,9515,60.262743037309505,4086,10560,14646,27.898402294141743,1653,1235,2888,57.23684210526315,4081,2546,6627,61.58140938584579,970,3308,4278,22.67414679756896,3116,7252,10368,30.05401234567901
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001011,Shwegu,ရွှေကူ,3995,12626,16621,24.03585825160941,1215,3844,5059,24.01660407195098,2780,8782,11562,24.044282996021447,1812,1951,3763,48.15306935955355,2183,10675,12858,16.97775703841966,594,727,1321,44.96593489780469,1218,1224,2442,49.877149877149876,621,3117,3738,16.613162118780096,1562,7558,9120,17.12719298245614
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001012,Momauk,မိုးမောက်,3103,9267,12370,25.084882780921586,881,3050,3931,22.411600101755276,2222,6217,8439,26.330133902121105,1470,2156,3626,40.54054054054054,1633,7111,8744,18.67566331198536,443,763,1206,36.73300165837479,1027,1393,2420,42.43801652892562,438,2287,2725,16.073394495412842,1195,4824,6019,19.85379631167968
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001013,Mansi,မန်စီ,2997,7557,10554,28.39681637293917,848,2550,3398,24.955856386109478,2149,5007,7156,30.030743432084968,517,1101,1618,31.95302843016069,2480,6456,8936,27.752909579230078,179,470,649,27.5808936825886,338,631,969,34.88132094943241,669,2080,2749,24.336122226264095,1811,4376,6187,29.271052206238892
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001014,Puta-O,ပူတာအို,1151,9592,10743,10.71395327189798,236,2038,2274,10.378188214599824,915,7554,8469,10.804109103790294,821,1990,2811,29.206688011383847,330,7602,7932,4.16036308623298,191,647,838,22.79236276849642,630,1343,1973,31.931069437404968,45,1391,1436,3.1337047353760443,285,6211,6496,4.387315270935961
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001015,Sumprabum,ဆွမ်ပရာဘွမ်,45,434,479,9.394572025052192,10,86,96,10.416666666666668,35,348,383,9.138381201044385,20,152,172,11.627906976744185,25,282,307,8.143322475570033,3,34,37,8.108108108108109,17,118,135,12.592592592592592,7,52,59,11.864406779661017,18,230,248,7.258064516129033
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001016,Machanbaw,မချမ်းဘော,106,1613,1719,6.166375799883653,17,494,511,3.326810176125244,89,1119,1208,7.367549668874172,66,342,408,16.176470588235293,40,1271,1311,3.051106025934401,8,64,72,11.11111111111111,58,278,336,17.261904761904763,9,430,439,2.050113895216401,31,841,872,3.555045871559633
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001017,Nawngmun,နောင်မွန်း,52,1160,1212,4.29042904290429,5,211,216,2.314814814814815,47,949,996,4.718875502008032,41,343,384,10.677083333333332,11,817,828,1.328502415458937,4,88,92,4.3478260869565215,37,255,292,12.67123287671233,1,123,124,0.8064516129032258,10,694,704,1.4204545454545454
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001018,Khaunglanhpu,ခေါင်လန်ဖူး,12,1699,1711,0.701344243132671,1,208,209,0.4784688995215311,11,1491,1502,0.7323568575233023,3,67,70,4.285714285714286,9,1632,1641,0.5484460694698354,0,7,7,0,3,60,63,4.761904761904762,1,201,202,0.49504950495049505,8,1431,1439,0.5559416261292565
MMR002,Kayah,ကယားပြည်နယ်,MMR002001,Loikaw,လွိုင်ကော်,12646,13849,26495,47.72976033213814,2989,3387,6376,46.87892095357591,9657,10462,20119,47.99940354888414,7515,2907,10422,72.10708117443869,5131,10942,16073,31.923100852361102,2076,974,3050,68.06557377049181,5439,1933,7372,73.77916440586002,913,2413,3326,27.450390859891762,4218,8529,12747,33.090138856201456
MMR002,Kayah,ကယားပြည်နယ်,MMR002002,Demoso,ဒီမောဆို,2873,12474,15347,18.72027106274842,584,2836,3420,17.076023391812868,2289,9638,11927,19.191749811352395,450,687,1137,39.577836411609496,2423,11787,14210,17.05137227304715,95,184,279,34.05017921146953,355,503,858,41.375291375291376,489,2652,3141,15.56829035339064,1934,9135,11069,17.472219712711176
MMR002,Kayah,ကယားပြည်နယ်,MMR002003,Hpruso,ဖရူဆို,350,5560,5910,5.922165820642978,44,1341,1385,3.1768953068592056,306,4219,4525,6.76243093922652,217,636,853,25.43962485345838,133,4924,5057,2.630017797112913,23,179,202,11.386138613861387,194,457,651,29.80030721966206,21,1162,1183,1.7751479289940828,112,3762,3874,2.8910686628807434
MMR002,Kayah,ကယားပြည်နယ်,MMR002004,Shadaw,ရှားတော,10,1396,1406,0.7112375533428165,1,246,247,0.4048582995951417,9,1150,1159,0.7765314926660914,3,333,336,0.8928571428571428,7,1063,1070,0.6542056074766356,1,77,78,1.282051282051282,2,256,258,0.7751937984496124,0,169,169,0,7,894,901,0.776914539400666
