SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,DISREM_N_T,DISREM_YSOME_T,DISREM_YLOT_T,DISREM_YALL_T,DISREM_Y_T,DISREM_TOT_T,DISREMR_T,DISREM_N_F,DISREM_YSOME_F,DISREM_YLOT_F,DISREM_YALL_F,DISREM_Y_F,DISREM_TOT_F,DISREMR_F,DISREM_N_M,DISREM_YSOME_M,DISREM_YLOT_M,DISREM_YALL_M,DISREM_Y_M,DISREM_TOT_M,DISREMR_M,DISREM_N_U,DISREM_YSOME_U,DISREM_YLOT_U,DISREM_YALL_U,DISREM_Y_U,DISREM_TOT_U,DISREMR_U,DISREM_N_R,DISREM_YSOME_R,DISREM_YLOT_R,DISREM_YALL_R,DISREM_Y_R,DISREM_TOT_R,DISREMR_R,DISREM_N_FU,DISREM_YSOME_FU,DISREM_YLOT_FU,DISREM_YALL_FU,DISREM_Y_FU,DISREM_TOT_FU,DISREMR_FU,DISREM_N_MU,DISREM_YSOME_MU,DISREM_YLOT_MU,DISREM_YALL_MU,DISREM_Y_MU,DISREM_TOT_MU,DISREMR_MU,DISREM_N_FR,DISREM_YSOME_FR,DISREM_YLOT_FR,DISREM_YALL_FR,DISREM_Y_FR,DISREM_TOT_FR,DISREMR_FR,DISREM_N_MR,DISREM_YSOME_MR,DISREM_YLOT_MR,DISREM_YALL_MR,DISREM_Y_MR,DISREM_TOT_MR,DISREMR_MR
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001001,Myitkyina,မြစ်ကြီးနား,314300,2090,671,543,3304,317604,1.0402891651238648,161724,1188,366,279,1833,163557,1.1207102111190594,152576,902,305,264,1471,154047,0.9549033736457055,244295,1302,481,428,2211,246506,0.8969355715479542,70005,788,190,115,1093,71098,1.5373146923964105,127348,766,262,219,1247,128595,0.9697111085189938,116947,536,219,209,964,117911,0.8175657911475605,34376,422,104,60,586,34962,1.6761054859561813,35629,366,86,55,507,36136,1.4030329864954616
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001002,Waingmaw,ဝိုင်းမော်,122551,2194,520,279,2993,125544,2.3840247243994135,61399,1235,295,150,1680,63079,2.6633269392349277,61152,959,225,129,1313,62465,2.1019771071800206,26353,209,45,49,303,26656,1.136704681872749,96198,1985,475,230,2690,98888,2.7202491707790633,13262,111,32,27,170,13432,1.265634306134604,13091,98,13,22,133,13224,1.0057471264367817,48137,1124,263,123,1510,49647,3.0414727979535523,48061,861,212,107,1180,49241,2.3963770029040843
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001003,Injangyang,အင်ဂျန်းယန်,1699,22,2,9,33,1732,1.905311778290993,767,12,1,6,19,786,2.4173027989821882,932,10,1,3,14,946,1.4799154334038054,436,8,0,1,9,445,2.0224719101123596,1263,14,2,8,24,1287,1.8648018648018647,194,6,0,1,7,201,3.482587064676617,242,2,0,0,2,244,0.819672131147541,573,6,1,5,12,585,2.051282051282051,690,8,1,3,12,702,1.7094017094017095
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001004,Tanai,တနိုင်း,59440,443,76,60,579,60019,0.9646945134040886,27739,236,38,27,301,28040,1.0734664764621968,31701,207,38,33,278,31979,0.8693204915725946,37155,186,33,41,260,37415,0.694908459174128,22285,257,43,19,319,22604,1.4112546451955406,17186,106,23,20,149,17335,0.8595327372368041,19969,80,10,21,111,20080,0.5527888446215139,10553,130,15,7,152,10705,1.4198972442783746,11732,127,28,12,167,11899,1.4034792839734431
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001005,Chipwi,ချီဗွေ,19644,281,71,43,395,20039,1.9711562453216227,9519,161,41,18,220,9739,2.258958825341411,10125,120,30,25,175,10300,1.6990291262135921,2740,39,8,3,50,2790,1.7921146953405016,16904,242,63,40,345,17249,2.0001159487506524,1368,24,5,2,31,1399,2.215868477483917,1372,15,3,1,19,1391,1.3659237958303379,8151,137,36,16,189,8340,2.2661870503597124,8753,105,27,24,156,8909,1.7510382759007743
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001006,Tsawlaw,ဆော့လော်,6346,132,24,16,172,6518,2.6388462718625343,3080,71,14,2,87,3167,2.7470792548152825,3266,61,10,14,85,3351,2.5365562518651146,363,5,0,0,5,368,1.358695652173913,5983,127,24,16,167,6150,2.7154471544715446,172,3,0,0,3,175,1.7142857142857144,191,2,0,0,2,193,1.0362694300518136,2908,68,14,2,84,2992,2.807486631016043,3075,59,10,14,83,3158,2.628245725142495
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001007,Mohnyin,မိုးညှင်း,207179,1567,348,198,2113,209292,1.0095942510941651,106493,913,188,100,1201,107694,1.1151967611937528,100686,654,160,98,912,101598,0.8976554656587729,56088,388,90,76,554,56642,0.9780728081635536,151091,1179,258,122,1559,152650,1.021290533901081,29674,232,45,39,316,29990,1.0536845615205068,26414,156,45,37,238,26652,0.8929911451298215,76819,681,143,61,885,77704,1.1389375064346752,74272,498,115,61,674,74946,0.8993141728711339
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001008,Mogaung,မိုးကောင်း,131650,658,175,125,958,132608,0.7224300193050194,68596,361,87,63,511,69107,0.7394330530915826,63054,297,88,62,447,63501,0.7039259224264185,24852,88,39,33,160,25012,0.6396929473852551,106798,570,136,92,798,107596,0.7416632588572065,13318,51,18,21,90,13408,0.6712410501193317,11534,37,21,12,70,11604,0.603240261978628,55278,310,69,42,421,55699,0.7558483994326648,51520,260,67,50,377,51897,0.7264389078366765
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001009,Hpakant,ဖားကန့်,329205,2002,337,164,2503,331708,0.7545793288072642,119569,1145,190,81,1416,120985,1.1703930239285862,209636,857,147,83,1087,210723,0.5158430736084813,65615,162,49,31,242,65857,0.3674628361449808,263590,1840,288,133,2261,265851,0.8504763946722036,22923,73,28,15,116,23039,0.5034940752636833,42692,89,21,16,126,42818,0.29426876547246483,96646,1072,162,66,1300,97946,1.3272619606722071,166944,768,126,67,961,167905,0.5723474583842054
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001010,Bhamo,ဗန်းမော်,133497,1779,325,276,2380,135877,1.7515841533151306,67735,1094,181,149,1424,69159,2.0590234098237397,65762,685,144,127,956,66718,1.4328966695644354,57747,722,113,114,949,58696,1.6168052337467629,75750,1057,212,162,1431,77181,1.8540832588331324,29634,440,72,58,570,30204,1.8871672626142235,28113,282,41,56,379,28492,1.330197950301839,38101,654,109,91,854,38955,2.192273135669362,37649,403,103,71,577,38226,1.509443834039659
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001011,Shwegu,ရွှေကူ,93471,927,227,159,1313,94784,1.385254895340986,46899,512,121,78,711,47610,1.4933837429111532,46572,415,106,81,602,47174,1.2761266799508202,20559,110,26,27,163,20722,0.7866036096901844,72912,817,201,132,1150,74062,1.552753098755097,10655,61,11,16,88,10743,0.8191380433770828,9904,49,15,11,75,9979,0.7515783144603667,36244,451,110,62,623,36867,1.68985813871484,36668,366,91,70,527,37195,1.4168571044495228
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001012,Momauk,မိုးမောက်,61133,1354,291,136,1781,62914,2.83084845980227,30865,791,155,74,1020,31885,3.1989963932883803,30268,563,136,62,761,31029,2.452544393954043,20214,629,115,39,783,20997,3.72910415773682,40919,725,176,97,998,41917,2.3808955793592097,10409,370,63,23,456,10865,4.196962724344225,9805,259,52,16,327,10132,3.22739834188709,20456,421,92,51,564,21020,2.6831588962892483,20463,304,84,46,434,20897,2.0768531368138965
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001013,Mansi,မန်စီ,52134,555,165,91,811,52945,1.531778260458967,26337,313,92,47,452,26789,1.6872596961439397,25797,242,73,44,359,26156,1.3725340266095734,7967,122,36,21,179,8146,2.1973974957034126,44167,433,129,70,632,44799,1.4107457755753479,3954,76,21,8,105,4059,2.5868440502586845,4013,46,15,13,74,4087,1.8106190359677026,22383,237,71,39,347,22730,1.5266168059832819,21784,196,58,31,285,22069,1.2914042321808872
