SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,DISABSEE_N_T,DISABSEE_YSOME_T,DISABSEE_YLOT_T,DISABSEE_YALL_T,DISABSEE_Y_T,DISABSEE_TOT_T,DISABSEER_T,DISABSEE_N_F,DISABSEE_YSOME_F,DISABSEE_YLOT_F,DISABSEE_YALL_F,DISABSEE_Y_F,DISABSEE_TOT_F,DISABSEER_F,DISABSEE_N_M,DISABSEE_YSOME_M,DISABSEE_YLOT_M,DISABSEE_YALL_M,DISABSEE_Y_M,DISABSEE_TOT_M,DISABSEER_M,DISABSEE_N_U,DISABSEE_YSOME_U,DISABSEE_YLOT_U,DISABSEE_YALL_U,DISABSEE_Y_U,DISABSEE_TOT_U,DISABSEER_U,DISABSEE_N_R,DISABSEE_YSOME_R,DISABSEE_YLOT_R,DISABSEE_YALL_R,DISABSEE_Y_R,DISABSEE_TOT_R,DISABSEER_R,DISABSEER_N_FU,DISABSEE_YSOME_FU,DISABSEE_YLOT_FU,DISABSEE_YALL_FU,DISABSEE_Y_FU,DISABSEE_TOT_FU,DISABSEER_FU,DISABSEE_N_MU,DISABSEE_YSOME_MU,DISABSEE_YLOT_MU,DISABSEE_YALL_MU,DISABSEE_Y_MU,DISABSEE_TOT_MU,DISABSEER_MU,DISABSEE_N_FR,DISABSEE_YSOME_FR,DISABSEE_YLOT_FR,DISABSEE_YALL_FR,DISABSEE_Y_FR,DISABSEE_TOT_FR,DISABSEER_FR,DISABSEE_N_MR,DISABSEE_YSOME_MR,DISABSEE_YLOT_MR,DISABSEE_YALL_MR,DISABSEE_Y_MR,DISABSEE_TOT_MR,DISABSEER_MR
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001001,Myitkyina,မြစ်ကြီးနား,311727,4831,632,414,5877,317604,1.85041750103903,160057,2884,383,233,3500,163557,2.1399267533642705,151670,1947,249,181,2377,154047,1.54303556706719,241950,3700,518,338,4556,246506,1.84823087470488,69777,1131,114,76,1321,71098,1.857998818532167,125866,2218,317,194,2729,128595,2.1221664916987444,116084,1482,201,144,1827,117911,1.5494737556292457,34191,666,66,39,771,34962,2.2052514158228935,35586,465,48,37,550,36136,1.5220278946203232
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001002,Waingmaw,ဝိုင်းမော်,120610,4193,570,171,4934,125544,3.930096221245141,60213,2437,323,106,2866,63079,4.543508933242442,60397,1756,247,65,2068,62465,3.310653966221084,25833,721,74,28,823,26656,3.087484993997599,94777,3472,496,143,4111,98888,4.15722837958094,12968,407,41,16,464,13432,3.4544371649791543,12865,314,33,12,359,13224,2.7147610405323657,47245,2030,282,90,2402,49647,4.838157391181743,47532,1442,214,53,1709,49241,3.4706849982737964
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001003,Injangyang,အင်ဂျန်းယန်,1683,44,4,1,49,1732,2.8290993071593533,767,18,0,1,19,786,2.4173027989821882,916,26,4,0,30,946,3.171247357293869,441,4,0,0,4,445,0.8988764044943821,1242,40,4,1,45,1287,3.4965034965034967,200,1,0,0,1,201,0.4975124378109453,241,3,0,0,3,244,1.2295081967213115,567,17,0,1,18,585,3.076923076923077,675,23,4,0,27,702,3.8461538461538463
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001004,Tanai,တနိုင်း,58629,1256,104,30,1390,60019,2.315933287792199,27322,651,51,16,718,28040,2.5606276747503567,31307,605,53,14,672,31979,2.10137902998843,36828,507,58,22,587,37415,1.5688894828277427,21801,749,46,8,803,22604,3.552468589630154,17010,287,25,13,325,17335,1.874819728872224,19818,220,33,9,262,20080,1.3047808764940239,10312,364,26,3,393,10705,3.6711816907986923,11489,385,20,5,410,11899,3.4456677031683336
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001005,Chipwi,ချီဗွေ,19523,415,62,39,516,20039,2.574978791356854,9458,232,29,20,281,9739,2.8853064996406204,10065,183,33,19,235,10300,2.2815533980582523,2704,78,6,2,86,2790,3.0824372759856633,16819,337,56,37,430,17249,2.492898139022552,1345,49,3,2,54,1399,3.8598999285203717,1359,29,3,0,32,1391,2.3005032350826746,8113,183,26,18,227,8340,2.721822541966427,8706,154,30,19,203,8909,2.2785946795375462
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001006,Tsawlaw,ဆော့လော်,6304,179,27,8,214,6518,3.283215710340595,3061,90,13,3,106,3167,3.3470161035680457,3243,89,14,5,108,3351,3.222918531781558,360,8,0,0,8,368,2.1739130434782608,5944,171,27,8,206,6150,3.349593495934959,171,4,0,0,4,175,2.2857142857142856,189,4,0,0,4,193,2.072538860103627,2890,86,13,3,102,2992,3.4090909090909087,3054,85,14,5,104,3158,3.2932235592146926
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001007,Mohnyin,မိုးညှင်း,206079,2858,233,122,3213,209292,1.5351757353362767,105705,1772,144,73,1989,107694,1.846899548721377,100374,1086,89,49,1224,101598,1.2047481249630898,56004,552,43,43,638,56642,1.1263726563327567,150075,2306,190,79,2575,152650,1.68686537831641,29581,356,26,27,409,29990,1.3637879293097699,26423,196,17,16,229,26652,0.8592225724148281,76124,1416,118,46,1580,77704,2.0333573561206633,73951,890,72,33,995,74946,1.327622554906199
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001008,Mogaung,မိုးကောင်း,131406,945,135,122,1202,132608,0.9064309845559846,68389,567,79,72,718,69107,1.038968556007351,63017,378,56,50,484,63501,0.7621927213744666,24757,207,24,24,255,25012,1.0195106348952503,106649,738,111,98,947,107596,0.8801442432804193,13250,126,15,17,158,13408,1.178400954653938,11507,81,9,7,97,11604,0.8359186487418131,55139,441,64,55,560,55699,1.0054040467512881,51510,297,47,43,387,51897,0.7457078443840685
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001009,Hpakant,ဖားကန့်,326223,5055,333,97,5485,331708,1.6535627720766457,118043,2711,182,49,2942,120985,2.431706409885523,208180,2344,151,48,2543,210723,1.206797549389483,65355,462,28,12,502,65857,0.7622576187800841,260868,4593,305,85,4983,265851,1.8743581931232156,22784,232,17,6,255,23039,1.1068188723468901,42571,230,11,6,247,42818,0.5768601989817367,95259,2479,165,43,2687,97946,2.7433483756355543,165609,2114,140,42,2296,167905,1.367439921384116
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001010,Bhamo,ဗန်းမော်,131763,3566,405,143,4114,135877,3.0277383221590117,66639,2183,243,94,2520,69159,3.643777382553247,65124,1383,162,49,1594,66718,2.389160346533169,56927,1554,153,62,1769,58696,3.013833992094862,74836,2012,252,81,2345,77181,3.038312538059885,29126,946,93,39,1078,30204,3.569063700172163,27801,608,60,23,691,28492,2.4252421732416116,37513,1237,150,55,1442,38955,3.701707097933513,37323,775,102,26,903,38226,2.362266520169518
