SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,DISWALK_N_T,DISWALK_YSOME_T,DISWALK_YLOT_T,DISWALK_YALL_T,DISWALK_Y_T,DISWALK_TOT_T,DISWALKR_T,DISWALK_N_F,DISWALK_YSOME_F,DISWALK_YLOT_F,DISWALK_YALL_F,DISWALK_Y_F,DISWALK_TOT_F,DISWALKR_F,DISWALK_N_M,DISWALK_YSOME_M,DISWALK_YLOT_M,DISWALK_YALL_M,DISWALK_Y_M,DISWALK_TOT_M,DISWALKR_M,DISWALK_N_U,DISWALK_YSOME_U,DISWALK_YLOT_U,DISWALK_YALL_U,DISWALK_Y_U,DISWALK_TOT_U,DISWALKR_U,DISWALK_N_R,DISWALK_YSOME_R,DISWALK_YLOT_R,DISWALK_YALL_R,DISWALK_Y_R,DISWALK_TOT_R,DISWALKR_R,DISWALK_N_FU,DISWALK_YSOME_FU,DISWALK_YLOT_FU,DISWALK_YALL_FU,DISWALK_Y_FU,DISWALK_TOT_FU,DISWALKR_FU,DISWALK_N_MU,DISWALK_YSOME_MU,DISWALK_YLOT_MU,DISWALK_YALL_MU,DISWALK_Y_MU,DISWALK_TOT_MU,DISWALKR_MU,DISWALK_N_FR,DISWALK_YSOME_FR,DISWALK_YLOT_FR,DISWALK_YALL_FR,DISWALK_Y_FR,DISWALK_TOT_FR,DISWALKR_FR,DISWALK_N_MR,DISWALK_YSOME_MR,DISWALK_YLOT_MR,DISWALK_YALL_MR,DISWALK_Y_MR,DISWALK_TOT_MR,DISWALKR_MR
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001001,Myitkyina,မြစ်ကြီးနား,313483,2587,901,633,4121,317604,1.29752773894535,161370,1384,462,341,2187,163557,1.3371485170307598,152113,1203,439,292,1934,154047,1.2554609956701526,243639,1703,656,508,2867,246506,1.1630548546485684,69844,884,245,125,1254,71098,1.7637626937466595,127032,940,343,280,1563,128595,1.2154438352968624,116607,763,313,228,1304,117911,1.1059188710128827,34338,444,119,61,704,35666,1.9738686704424382,35506,440,126,64,630,36136,1.7434137702014612
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001002,Waingmaw,ဝိုင်းမော်,122367,2247,600,330,3177,125544,2.5305868858726823,61357,1252,310,160,1722,63079,2.729910112715801,61010,995,290,170,1455,62465,2.329304410469863,26280,253,75,48,376,26656,1.4105642256902762,96087,1994,525,282,2801,98888,2.8324973707628835,13218,147,42,25,214,13432,1.5932102441929719,13062,106,33,23,162,13224,1.2250453720508168,48139,1105,268,135,2215,51862,4.270949828390729,47948,889,257,147,1293,49241,2.6258605633516785
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001003,Injangyang,အင်ဂျန်းယန်,1711,14,4,3,21,1732,1.212471131639723,777,7,1,1,9,786,1.1450381679389312,934,7,3,2,12,946,1.2684989429175475,438,6,1,0,7,445,1.5730337078651686,1273,8,3,3,14,1287,1.0878010878010878,197,4,0,0,4,201,1.9900497512437811,241,2,1,0,3,244,1.2295081967213115,580,3,1,1,1268,1853,68.42957366432812,693,5,2,2,9,702,1.282051282051282
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001004,Tanai,တနိုင်း,59384,484,100,51,635,60019,1.0579983005381628,27718,247,48,27,322,28040,1.1483594864479316,31666,237,52,24,313,31979,0.9787673160511585,37087,227,63,38,328,37415,0.8766537484965923,22297,257,37,13,307,22604,1.3581666961599717,17162,123,31,19,173,17335,0.997980963368907,19925,104,32,19,155,20080,0.7719123505976095,10556,124,17,8,316,11021,2.8672534252790127,11741,133,20,5,158,11899,1.3278426758551138
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001005,Chipwi,ချီဗွေ,19585,318,92,44,454,20039,2.2655821148759916,9511,165,44,19,228,9739,2.341102782626553,10074,153,48,25,226,10300,2.1941747572815538,2731,47,10,2,59,2790,2.1146953405017923,16854,271,82,42,395,17249,2.289987825381181,1368,26,3,2,31,1399,2.215868477483917,1363,21,7,0,28,1391,2.01294033069734,8143,139,41,17,346,8686,3.9834215979737504,8711,132,41,25,198,8909,2.2224716578740598
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001006,Tsawlaw,ဆော့လော်,6361,125,23,9,157,6518,2.4087143295489413,3087,65,12,3,80,3167,2.5260498894853174,3274,60,11,6,77,3351,2.297821545807222,366,2,0,0,2,368,0.5434782608695652,5995,123,23,9,155,6150,2.5203252032520327,175,0,0,0,0,175,0,191,2,0,0,2,193,1.0362694300518136,2912,65,12,3,206,3198,6.441525953721075,3083,58,11,6,75,3158,2.3749208359721345
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001007,Mohnyin,မိုးညှင်း,206910,1746,396,240,2382,209292,1.1381228140588269,106299,1045,210,140,1395,107694,1.2953367875647668,100611,701,186,100,987,101598,0.9714758164530798,55960,482,105,95,682,56642,1.2040535291832914,150950,1264,291,145,1700,152650,1.1136586963642319,29585,292,57,56,405,29990,1.3504501500500166,26375,190,48,39,277,26652,1.0393216268947922,76714,753,153,84,2031,79735,2.5471875587884867,74236,511,138,61,710,74946,0.9473487577722628
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001008,Mogaung,မိုးကောင်း,131404,811,219,174,1204,132608,0.9079391891891891,68464,423,125,95,643,69107,0.9304411998784493,62940,388,94,79,561,63501,0.8834506543204045,24761,146,48,57,251,25012,1.0035183112106187,106643,665,171,117,953,107596,0.8857206587605488,13259,86,28,35,149,13408,1.1112768496420047,11502,60,20,22,102,11604,0.8790072388831437,55205,337,97,60,1258,56957,2.2086837438769598,51438,328,74,57,459,51897,0.8844441875252904
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001009,Hpakant,ဖားကန့်,329347,1778,411,172,2361,331708,0.7117705934134841,119781,918,205,81,1204,120985,0.9951646898375832,209566,860,206,91,1157,210723,0.5490620387902603,65590,173,61,33,267,65857,0.4054238729368177,263757,1605,350,139,2094,265851,0.7876592527393164,22916,74,32,17,123,23039,0.5338773384261469,42674,99,29,16,144,42818,0.3363071605399598,96865,844,173,64,1801,99747,1.8055680872607698,166892,761,177,75,1013,167905,0.6033173520740895
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001010,Bhamo,ဗန်းမော်,132900,2087,566,324,2977,135877,2.1909521111004806,67435,1227,326,171,1724,69159,2.4928064315562692,65465,860,240,153,1253,66718,1.8780538984981565,57306,976,266,148,1390,58696,2.3681341147608013,75594,1111,300,176,1587,77181,2.0562055428149413,29382,585,160,77,822,30204,2.7214938418752483,27924,391,106,71,568,28492,1.993542046890355,38053,642,166,94,1013,39968,2.534527622097678,37541,469,134,82,685,38226,1.791974049076545
