SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,TV_Y_T,TV_N_T,TV_TOT_T,"PCT_TV_T

",TV_Y_F,TV_N_F,TV_TOT_F,"PCT_TV_F

",TV_Y_M,TV_N_M,TV_TOT_M,"PCT_TV_M

",TV_Y_U,TV_N_U,TV_TOT_U,"PCT_TV_U

",TV_Y_R,TV_N_R,TV_TOT_R,"PCT_TV_R

",TV_Y_FU,TV_N_FU,TV_TOT_FU,"PCT_TV_FU

",TV_Y_MU,TV_N_MU,TV_TOT_MU,"PCT_TV_MU

",TV_Y_FR,TV_N_FR,TV_TOT_FR,"PCT_TV_FR

",TV_Y_MR,TV_N_MR,TV_TOT_MR,"PCT_TV_MR

"
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001001,Myitkyina,မြစ်ကြီးနား,35801,16790,52591,68.0743853511057,10660,5830,16490,64.64523953911461,25141,10960,36101,69.6407301736794,30030,10342,40372,74.38323590607352,5771,6448,12219,47.22972420001636,8854,3338,12192,72.62139107611549,21176,7004,28180,75.14549325762952,1806,2492,4298,42.01954397394137,3965,3956,7921,50.05681100871102
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001002,Waingmaw,ဝိုင်းမော်,10541,12319,22860,46.111111111111114,3116,3710,6826,45.64898915909757,7425,8609,16034,46.30784582761632,2885,1619,4504,64.05417406749557,7656,10700,18356,41.70843320984964,920,516,1436,64.06685236768801,1965,1103,3068,64.04823989569752,2196,3194,5390,40.742115027829314,5460,7506,12966,42.11013419713096
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001003,Injangyang,အင်ဂျန်းယန်,58,227,285,20.350877192982455,10,43,53,18.867924528301888,48,184,232,20.689655172413794,19,59,78,24.358974358974358,39,168,207,18.84057971014493,5,8,13,38.46153846153847,14,51,65,21.53846153846154,5,35,40,12.5,34,133,167,20.35928143712575
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001004,Tanai,တနိုင်း,4406,4122,8528,51.665103189493436,756,722,1478,51.15020297699594,3650,3400,7050,51.77304964539007,2910,1809,4719,61.66560712015258,1496,2313,3809,39.27540036755054,571,390,961,59.41727367325702,2339,1419,3758,62.240553485896754,185,332,517,35.783365570599614,1311,1981,3292,39.82381530984204
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001005,Chipwi,ချီဗွေ,1431,1875,3306,43.28493647912885,252,382,634,39.74763406940063,1179,1493,2672,44.12425149700599,341,184,525,64.95238095238095,1090,1691,2781,39.19453434016541,117,63,180,65,224,121,345,64.92753623188405,135,319,454,29.735682819383257,955,1372,2327,41.03996562097121
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001006,Tsawlaw,ဆော့လော်,253,820,1073,23.57875116495806,40,138,178,22.47191011235955,213,682,895,23.798882681564244,33,33,66,50,220,787,1007,21.847070506454816,9,11,20,45,24,22,46,52.17391304347826,31,127,158,19.62025316455696,189,660,849,22.261484098939928
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001007,Mohnyin,မိုးညှင်း,26357,13265,39622,66.52112462773206,7704,4487,12191,63.194159625953574,18653,8778,27431,67.9997083591557,8241,2653,10894,75.64714521755094,18116,10612,28728,63.060428849902536,2825,991,3816,74.03039832285116,5416,1662,7078,76.51879061881888,4879,3496,8375,58.25671641791045,13237,7116,20353,65.03709526851078
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001008,Mogaung,မိုးကောင်း,15893,9005,24898,63.832436340268295,4447,2840,7287,61.02648552216275,11446,6165,17611,64.99346999034694,3475,973,4448,78.125,12418,8032,20450,60.72371638141809,1242,368,1610,77.14285714285715,2233,605,2838,78.68217054263566,3205,2472,5677,56.45587458164524,9213,5560,14773,62.36377174575238
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001009,Hpakant,ဖားကန့်,24427,12205,36632,66.68213583751911,3483,2077,5560,62.643884892086334,20944,10128,31072,67.40473738414006,5521,2365,7886,70.01014455997972,18906,9840,28746,65.76915049050302,881,377,1258,70.03179650238474,4640,1988,6628,70.0060350030175,2602,1700,4302,60.48349604834961,16304,8140,24444,66.69939453444607
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001010,Bhamo,ဗန်းမော်,16793,7368,24161,69.50457348619676,4565,2601,7166,63.70360033491488,12228,4767,16995,71.95057369814651,7716,1799,9515,81.09301103520757,9077,5569,14646,61.97596613409805,2258,630,2888,78.18559556786704,5458,1169,6627,82.36004225139581,2307,1971,4278,53.92706872370267,6770,3598,10368,65.29706790123457
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001011,Shwegu,ရွှေကူ,9823,6798,16621,59.09993381866314,2897,2162,5059,57.26428147855307,6926,4636,11562,59.90313094620308,2853,910,3763,75.81716715386659,6970,5888,12858,54.20749727795925,989,332,1321,74.86752460257381,1864,578,2442,76.33087633087634,1908,1830,3738,51.04333868378812,5062,4058,9120,55.50438596491228
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001012,Momauk,မိုးမောက်,7388,4982,12370,59.725141471301534,2234,1697,3931,56.83032307300942,5154,3285,8439,61.073586917881265,2233,1393,3626,61.58301158301158,5155,3589,8744,58.95471180237878,661,545,1206,54.80928689883914,1572,848,2420,64.95867768595042,1573,1152,2725,57.72477064220184,3582,2437,6019,59.511546768566205
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001013,Mansi,မန်စီ,6809,3745,10554,64.51582338449877,2041,1357,3398,60.06474396703943,4768,2388,7156,66.62940190050307,993,625,1618,61.37206427688504,5816,3120,8936,65.08504923903313,377,272,649,58.089368258859785,616,353,969,63.57069143446853,1664,1085,2749,60.53110221898872,4152,2035,6187,67.10845320834007
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001014,Puta-O,ပူတာအို,2767,7976,10743,25.756306432095315,539,1735,2274,23.702726473175023,2228,6241,8469,26.307710473491557,1372,1439,2811,48.8082532906439,1395,6537,7932,17.58698940998487,326,512,838,38.902147971360385,1046,927,1973,53.015712113532686,213,1223,1436,14.832869080779945,1182,5314,6496,18.195812807881772
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001015,Sumprabum,ဆွမ်ပရာဘွမ်,166,313,479,34.65553235908142,27,69,96,28.125,139,244,383,36.29242819843342,67,105,172,38.95348837209303,99,208,307,32.24755700325733,12,25,37,32.432432432432435,55,80,135,40.74074074074074,15,44,59,25.423728813559322,84,164,248,33.87096774193548
