SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,HOSPNB,HOSPBDNB,HOSPGVNB,HOSPGVBDNB,HOSPPVNB,HOSPPVBD,HOSPTYP01,HOSPTYP02,HOSPTYP03,HOSPTYP04,HOSPTYP05,HOSPTYP06,HOSPTYP07,HOSPTYP08,HOSPTYP09,HOSPTYP10,HOSPTYP11,HOSPTYP12,HOSPTYP13,HOSPTYP14,HOSPTYP15,HOSPTYP16,HOSPTYP17,HOSPTYP18,HOSPTYP19,HOSPTYP20,HOSPTYP21,HOSPTYP22,HOSPTYP23,HOSPTYP24,HOSPTYP25,HOSPTYP26,HOSPTYP27,HOSPTYP28
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001001,Myitkyina,မြစ်ကြီးနား,11,1079,6,948,5,131,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001002,Waingmaw,ဝိုင်းမော်,4,98,4,98,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001003,Injangyang,အင်ဂျန်းယန်,1,25,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001004,Tanai,တနိုင်း,2,56,2,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001005,Chipwi,ချီဗွေ,3,57,3,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001006,Tsawlaw,ဆော့လော်,1,25,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001007,Mohnyin,မိုးညှင်း,9,237,7,205,2,32,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001008,Mogaung,မိုးကောင်း,4,98,4,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001009,Hpakant,ဖားကန့်,7,164,5,123,2,41,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001010,Bhamo,ဗန်းမော်,5,439,2,323,3,116,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001011,Shwegu,ရွှေကူ,3,82,3,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001012,Momauk,မိုးမောက်,5,98,5,98,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001013,Mansi,မန်စီ,2,41,2,41,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001014,Puta-O,ပူတာအို,5,173,5,173,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001015,Sumprabum,ဆွမ်ပရာဘွမ်,1,50,1,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001016,Machanbaw,မချမ်းဘော,2,41,2,41,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001017,Nawngmun,နောင်မွန်း,1,25,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001018,Khaunglanhpu,ခေါင်လန်ဖူး,1,25,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR002,Kayah,ကယားပြည်နယ်,MMR002001,Loikaw,လွိုင်ကော်,3,1032,3,1032,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR002,Kayah,ကယားပြည်နယ်,MMR002002,Demoso,ဒီမောဆို,4,73,4,73,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR002,Kayah,ကယားပြည်နယ်,MMR002003,Hpruso,ဖရူဆို,2,41,2,41,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR002,Kayah,ကယားပြည်နယ်,MMR002004,Shadaw,ရှားတော,2,41,2,41,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR002,Kayah,ကယားပြည်နယ်,MMR002005,Bawlakhe,ဘောလခဲ,2,66,2,66,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR002,Kayah,ကယားပြည်နယ်,MMR002006,Hpasawng,ဖားဆောင်း,2,41,2,41,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR002,Kayah,ကယားပြည်နယ်,MMR002007,Mese,မယ်စဲ့,2,41,2,41,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR003,Kayin,ကရင်ပြည်နယ်,MMR003001,Hpa-An,ဘားအံ,8,99,5,89,3,10,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR003,Kayin,ကရင်ပြည်နယ်,MMR003002,Hlaingbwe,လှိုင်းဘွဲ့,6,139,6,139,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR003,Kayin,ကရင်ပြည်နယ်,MMR003003,Hpapun,ဖာပွန်,3,132,3,132,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR003,Kayin,ကရင်ပြည်နယ်,MMR003004,Thandaunggyi,သံတောင်ကြီး,4,82,4,82,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR003,Kayin,ကရင်ပြည်နယ်,MMR003005,Myawaddy,မြဝတီ,5,164,4,148,1,16,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR003,Kayin,ကရင်ပြည်နယ်,MMR003006,Kawkareik,ကော့ကရိတ်,5,173,5,173,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
