SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,CLINNB,CLINGVNB,CLINPVNB,CLINNGONB,CLINTYP01,CLINTYP02,CLINTYP03,CLINTYP04,CLINTYP05,CLINTYP06,CLINTYP07,CLINTYP08,CLINTYP09,CLINTYP10,CLINTYP11,CLINTYP12,CLINTYP13,CLINTYP14,CLINTYP15,CLINTYP16,CLINTYP17,CLINTYP18,CLINTYP19,CLINTYP20
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001001,Myitkyina,မြစ်ကြီးနား,8,3,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001002,Waingmaw,ဝိုင်းမော်,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001003,Injangyang,အင်ဂျန်းယန်,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001004,Tanai,တနိုင်း,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001005,Chipwi,ချီဗွေ,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001006,Tsawlaw,ဆော့လော်,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001007,Mohnyin,မိုးညှင်း,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001008,Mogaung,မိုးကောင်း,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001009,Hpakant,ဖားကန့်,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001010,Bhamo,ဗန်းမော်,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,unknown,1,1,1,unknown,unknown,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001011,Shwegu,ရွှေကူ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001012,Momauk,မိုးမောက်,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001013,Mansi,မန်စီ,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001014,Puta-O,ပူတာအို,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001015,Sumprabum,ဆွမ်ပရာဘွမ်,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001016,Machanbaw,မချမ်းဘော,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
