SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,POP,PHYSNB,PHYSR,NURSNB,NURSR,HSNB,HSR
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001001,Myitkyina,မြစ်ကြီးနား,238394,70, 1:3406,283, 1:842,6, 1:39732
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001002,Waingmaw,ဝိုင်းမော်,114326,5, 1:22865,46, 1:2485,4, 1:288581
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001003,Injangyang,အင်ဂျန်းယန်,8199,1, 1:8199,9, 1:911,1, 1:8199
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001004,Tanai,တနိုင်း,55368,8, 1:6921,36, 1:1538,5, 1:11074
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001005,Chipwi,ချီဗွေ,20881,1, 1:20881,19, 1:1099,1, 1:20881
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001006,Tsawlaw,ဆော့လော်,7428,1, 1:7428,8, 1:929,1, 1:7428
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001007,Mohnyin,မိုးညှင်း,204950,37, 1:5539,110, 1:1863,6, 1:36643
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001008,Mogaung,မိုးကောင်း,140807,9,1:16263,34, 1:4304,4,1:36588
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001009,Hpakant,ဖားကန့်,125033,15,1:14627,52,1:4219,5,1:36148
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001010,Bhamo,ဗန်းမော်,129327,57,1:2269,163,1:793,7,1:18475
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001011,Shwegu,ရွှေကူ,87291,8,1:10911,41,1:2129,7,1:12470
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001012,Momauk,မိုးမောက်,84566,7,1:12080,31,1:2727,6,1:14094
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001013,Mansi,မန်စီ,77411,3,1:25804,12,1:6451,4,1:19353
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001014,Puta-O,ပူတာအို,63203,11,1:5745,59,1:7071,2,1:31601
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001015,Sumprabum,ဆွမ်ပရာဘွမ်,10428,1, 1:10428,5,1:2085,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001016,Machanbaw,မချမ်းဘော,9244,3, 1:3081,17,1:544,2, 1:4622
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001017,Nawngmun,နောင်မွန်း,5790,1,1:5790,11,1:526,1,1:5790
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001018,Khaunglanhpu,ခေါင်လန်ဖူး,13179,1,1:13179,4,1:3294,2,1:6589
MMR002,Kayah,ကယားပြည်နယ်,MMR002001,Loikaw,လွိုင်ကော်,118683,86,1:1371,260,1:453,4,1:29485
MMR002,Kayah,ကယားပြည်နယ်,MMR002002,Demoso,ဒီမောဆို,86790,6,1:17,28,1:30,8,1:28
MMR002,Kayah,ကယားပြည်နယ်,MMR002003,Hpruso,ဖရူဆို,29651,4,1:7412,15,1:1976,5,1:5929
MMR002,Kayah,ကယားပြည်နယ်,MMR002004,Shadaw,ရှားတော,7076,3,1:2359,13,1:544,2,1:3538
MMR002,Kayah,ကယားပြည်နယ်,MMR002005,Bawlakhe,ဘောလခဲ,7508,5,1:15,13,1:556,2,1:3612
MMR002,Kayah,ကယားပြည်နယ်,MMR002006,Hpasawng,ဖားဆောင်း,22490,5,1:4498,15,1:1499,1,1:22490
MMR002,Kayah,ကယားပြည်နယ်,MMR002007,Mese,မယ်စဲ့,6835,4, 1:1708,14, 1:488,1, 1:6835
