SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,HIVAF15_16,HIVDD15_16,HIVAF16_17,HIVDD016_17
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001001,Myitkyina,မြစ်ကြီးနား,1181,38,900,54
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001002,Waingmaw,ဝိုင်းမော်,112,7,136,6
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001003,Injangyang,အင်ဂျန်းယန်,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001004,Tanai,တနိုင်း,43,7,43,9
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001005,Chipwi,ချီဗွေ,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001006,Tsawlaw,ဆော့လော်,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001007,Mohnyin,မိုးညှင်း,501,5,569,13
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001008,Mogaung,မိုးကောင်း,65,13,49,2
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001009,Hpakant,ဖားကန့်,235,46,76,27
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001010,Bhamo,ဗန်းမော်,464,23,217,20
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001011,Shwegu,ရွှေကူ,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001012,Momauk,မိုးမောက်,11,0,15,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001013,Mansi,မန်စီ,34,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001014,Puta-O,ပူတာအို,8,1,6,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001015,Sumprabum,ဆွမ်ပရာဘွမ်,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001016,Machanbaw,မချမ်းဘော,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001017,Nawngmun,နောင်မွန်း,0,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001018,Khaunglanhpu,ခေါင်လန်ဖူး,0,0,0,0
MMR002,Kayah,ကယားပြည်နယ်,MMR002001,Loikaw,လွိုင်ကော်,160,5,223,0
MMR002,Kayah,ကယားပြည်နယ်,MMR002002,Demoso,ဒီမောဆို,0,0,0,0
MMR002,Kayah,ကယားပြည်နယ်,MMR002003,Hpruso,ဖရူဆို,3,0,0,0
MMR002,Kayah,ကယားပြည်နယ်,MMR002004,Shadaw,ရှားတော,0,0,0,0
MMR002,Kayah,ကယားပြည်နယ်,MMR002005,Bawlakhe,ဘောလခဲ,0,0,0,0
MMR002,Kayah,ကယားပြည်နယ်,MMR002006,Hpasawng,ဖားဆောင်း,1,0,1,0
MMR002,Kayah,ကယားပြည်နယ်,MMR002007,Mese,မယ်စဲ့,0,0,0,0
MMR003,Kayin,ကရင်ပြည်နယ်,MMR003001,Hpa-An,ဘားအံ,336,21,26,2
MMR003,Kayin,ကရင်ပြည်နယ်,MMR003002,Hlaingbwe,လှိုင်းဘွဲ့,3,1,3,0
MMR003,Kayin,ကရင်ပြည်နယ်,MMR003003,Hpapun,ဖာပွန်,3,0,1,0
MMR003,Kayin,ကရင်ပြည်နယ်,MMR003004,Thandaunggyi,သံတောင်ကြီး,7,2,2,1
MMR003,Kayin,ကရင်ပြည်နယ်,MMR003005,Myawaddy,မြဝတီ,0,0,0,0
MMR003,Kayin,ကရင်ပြည်နယ်,MMR003006,Kawkareik,ကော့ကရိတ်,9,0,12,0
MMR003,Kayin,ကရင်ပြည်နယ်,MMR003007,Kyainseikgyi,ကြာအင်းဆိပ်ကြီး,8,0,11,0
MMR004,Chin,ချင်းပြည်နယ်,MMR004001,Falam,ဖလမ်း,0,0,0,0
MMR004,Chin,ချင်းပြည်နယ်,MMR004002,Hakha,ဟားခါး,92,11,96,1
MMR004,Chin,ချင်းပြည်နယ်,MMR004003,Thantlang,ထန်တလန်,4,0,7,0
MMR004,Chin,ချင်းပြည်နယ်,MMR004004,Tedim,တီးတိန်,0,0,0,0
MMR004,Chin,ချင်းပြည်နယ်,MMR004005,Tonzang,တွန်းဇံ,7,0,1,0
MMR004,Chin,ချင်းပြည်နယ်,MMR004006,Mindat,မင်းတပ်,0,0,13,1
MMR004,Chin,ချင်းပြည်နယ်,MMR004007,Matupi,မတူပီ,0,0,0,0
MMR004,Chin,ချင်းပြည်နယ်,MMR004008,Kanpetlet,ကန်ပက်လက်,0,0,0,0
